iter	Passed	Remaining
0	5	5904
1	9	4650
2	14	4831
3	18	4532
4	22	4429
5	26	4379
6	30	4331
7	34	4337
8	39	4295
9	42	4252
10	47	4242
11	51	4205
12	54	4166
13	62	4394
14	72	4748
15	76	4688
16	82	4753
17	88	4822
18	94	4875
19	100	4912
20	106	4969
21	112	5006
22	118	5054
23	126	5129
24	132	5174
25	136	5110
26	142	5140
27	148	5167
28	154	5175
29	160	5185
30	163	5105
31	170	5154
32	187	5485
33	210	5990
34	228	6303
35	247	6639
36	259	6764
37	275	6964
38	281	6929
39	291	6993
40	298	6976
41	304	6941
42	308	6855
43	314	6831
44	320	6809
45	326	6769
46	333	6759
47	339	6743
48	345	6714
49	349	6638
50	355	6614
51	359	6545
52	365	6522
53	371	6504
54	376	6469
55	382	6441
56	388	6432
57	394	6403
58	401	6403
59	407	6390
60	413	6370
61	420	6357
62	426	6337
63	432	6319
64	435	6271
65	438	6199
66	444	6193
67	451	6184
68	457	6169
69	463	6158
70	469	6143
71	475	6129
72	481	6112
73	488	6108
74	494	6104
75	501	6098
76	507	6080
77	513	6067
78	519	6058
79	525	6047
80	531	6033
81	535	5990
82	541	5977
83	547	5972
84	556	5994
85	565	6008
86	573	6020
87	583	6046
88	589	6033
89	599	6058
90	612	6116
91	617	6095
92	651	6354
93	661	6372
94	670	6385
95	679	6401
96	689	6419
97	703	6477
98	725	6602
99	744	6702
100	764	6807
101	772	6802
102	787	6858
103	801	6908
104	819	6985
105	832	7022
106	850	7095
107	867	7163
108	876	7164
109	884	7159
110	893	7152
111	899	7132
112	907	7126
113	920	7153
114	925	7121
115	933	7115
116	936	7070
117	940	7029
118	943	6987
119	948	6956
120	952	6919
121	956	6885
122	961	6854
123	965	6819
124	969	6783
125	973	6754
126	977	6717
127	982	6693
128	986	6660
129	991	6635
130	996	6607
131	999	6575
132	1004	6546
133	1009	6522
134	1014	6502
135	1023	6502
136	1030	6492
137	1040	6498
138	1049	6499
139	1059	6507
140	1065	6489
141	1079	6521
142	1087	6517
143	1098	6529
144	1103	6506
145	1115	6523
146	1126	6534
147	1134	6529
148	1143	6532
149	1152	6531
150	1160	6527
151	1171	6534
152	1182	6543
153	1190	6537
154	1198	6532
155	1208	6539
156	1216	6529
157	1225	6532
158	1232	6516
159	1243	6526
160	1252	6524
161	1259	6517
162	1269	6520
163	1278	6515
164	1287	6517
165	1295	6509
166	1303	6501
167	1312	6498
168	1320	6491
169	1331	6499
170	1341	6503
171	1346	6480
172	1355	6478
173	1365	6481
174	1371	6464
175	1381	6466
176	1390	6464
177	1399	6461
178	1407	6454
179	1411	6429
180	1419	6423
181	1428	6422
182	1439	6428
183	1451	6436
184	1460	6435
185	1469	6428
186	1478	6429
187	1487	6424
188	1495	6415
189	1502	6405
190	1506	6382
191	1514	6372
192	1521	6361
193	1534	6376
194	1544	6377
195	1553	6373
196	1564	6377
197	1571	6364
198	1578	6354
199	1585	6343
200	1592	6329
201	1605	6341
202	1622	6370
203	1634	6376
204	1649	6398
205	1661	6405
206	1673	6410
207	1688	6429
208	1699	6432
209	1707	6421
210	1718	6425
211	1731	6434
212	1754	6481
213	1770	6504
214	1780	6499
215	1792	6507
216	1805	6513
217	1812	6502
218	1818	6486
219	1823	6464
220	1827	6441
221	1831	6417
222	1835	6396
223	1839	6373
224	1843	6349
225	1847	6327
226	1857	6324
227	1865	6317
228	1871	6301
229	1875	6279
230	1883	6268
231	1887	6247
232	1891	6226
233	1895	6205
234	1899	6184
235	1903	6160
236	1907	6140
237	1914	6128
238	1921	6119
239	1926	6100
240	1931	6081
241	1938	6072
242	1947	6066
243	1955	6059
244	1964	6053
245	1973	6047
246	1977	6027
247	1984	6017
248	1992	6009
249	2000	6001
250	2010	5999
251	2018	5992
252	2022	5972
253	2027	5954
254	2033	5940
255	2046	5948
256	2050	5927
257	2054	5908
258	2058	5889
259	2061	5867
260	2066	5849
261	2070	5831
262	2074	5813
263	2078	5795
264	2086	5788
265	2095	5781
266	2103	5774
267	2111	5767
268	2121	5764
269	2126	5749
270	2136	5746
271	2144	5738
272	2147	5719
273	2151	5699
274	2157	5686
275	2162	5673
276	2172	5669
277	2178	5657
278	2182	5640
279	2189	5631
280	2194	5613
281	2198	5597
282	2203	5581
283	2208	5567
284	2212	5549
285	2217	5535
286	2221	5518
287	2226	5503
288	2230	5486
289	2235	5473
290	2242	5462
291	2249	5453
292	2257	5446
293	2267	5445
294	2275	5438
295	2285	5435
296	2292	5427
297	2300	5419
298	2306	5407
299	2312	5395
300	2317	5382
301	2321	5365
302	2326	5352
303	2331	5336
304	2337	5326
305	2341	5309
306	2345	5293
307	2348	5276
308	2351	5259
309	2354	5240
310	2357	5223
311	2360	5205
312	2363	5187
313	2366	5169
314	2369	5153
315	2372	5135
316	2376	5120
317	2379	5102
318	2382	5085
319	2385	5069
320	2389	5054
321	2392	5037
322	2395	5021
323	2398	5004
324	2401	4988
325	2404	4971
326	2408	4956
327	2411	4940
328	2414	4923
329	2418	4909
330	2421	4893
331	2423	4876
332	2427	4861
333	2429	4845
334	2432	4829
335	2435	4813
336	2438	4797
337	2441	4781
338	2443	4765
339	2446	4749
340	2449	4734
341	2453	4721
342	2456	4704
343	2459	4690
344	2462	4674
345	2465	4659
346	2468	4644
347	2471	4629
348	2473	4614
349	2476	4599
350	2479	4584
351	2482	4569
352	2485	4555
353	2488	4540
354	2490	4525
355	2494	4512
356	2498	4499
357	2501	4485
358	2503	4470
359	2506	4456
360	2510	4443
361	2512	4428
362	2515	4414
363	2518	4400
364	2521	4386
365	2524	4372
366	2526	4358
367	2529	4344
368	2532	4330
369	2536	4319
370	2540	4306
371	2543	4294
372	2546	4280
373	2549	4268
374	2553	4255
375	2556	4242
376	2559	4229
377	2562	4216
378	2564	4202
379	2567	4189
380	2570	4176
381	2573	4163
382	2577	4151
383	2580	4138
384	2583	4126
385	2586	4114
386	2589	4101
387	2592	4088
388	2595	4076
389	2598	4064
390	2601	4051
391	2604	4040
392	2607	4027
393	2609	4014
394	2612	4001
395	2615	3989
396	2618	3977
397	2621	3965
398	2624	3952
399	2627	3941
400	2630	3929
401	2633	3917
402	2636	3905
403	2639	3893
404	2641	3880
405	2644	3869
406	2648	3858
407	2650	3846
408	2653	3834
409	2656	3822
410	2661	3813
411	2665	3804
412	2671	3796
413	2675	3786
414	2682	3780
415	2685	3770
416	2688	3759
417	2692	3748
418	2695	3737
419	2697	3725
420	2700	3714
421	2703	3703
422	2707	3692
423	2710	3681
424	2712	3669
425	2715	3658
426	2717	3647
427	2720	3636
428	2724	3626
429	2726	3614
430	2729	3603
431	2732	3592
432	2741	3589
433	2746	3581
434	2749	3571
435	2752	3560
436	2755	3550
437	2759	3540
438	2761	3529
439	2765	3519
440	2768	3508
441	2771	3498
442	2775	3489
443	2778	3479
444	2781	3469
445	2784	3458
446	2787	3448
447	2789	3437
448	2792	3426
449	2795	3416
450	2797	3405
451	2800	3395
452	2803	3385
453	2806	3374
454	2808	3364
455	2813	3356
456	2816	3346
457	2818	3335
458	2821	3325
459	2824	3315
460	2827	3305
461	2830	3295
462	2833	3286
463	2836	3276
